,oid,ra,dec
99,CSS_J001312.9+075804,3.30375,7.967833333333333
100,CSS_J001319.5+063825,3.331583333333333,6.640527777777778
101,CSS_J001322.6+054009,3.3444583333333333,5.669305555555556
102,CSS_J001324.0+244918,3.3500833333333335,24.821694444444443
103,CSS_J001324.6+323018,3.352708333333333,32.50516666666667
104,CSS_J001325.1-140719,3.354875,-14.122166666666667
105,CSS_J001336.0+125705,3.400166666666667,12.951472222222222
106,CSS_J001339.5-172907,3.4146666666666667,-17.485333333333333
107,CSS_J001400.2+091645,3.500875,9.279305555555556
108,CSS_J001400.3+384145,3.5012916666666665,38.696
109,CSS_J001404.5-165842,3.5188333333333333,-16.978527777777778
110,CSS_J001406.7-070307,3.52825,-7.0521666666666665
111,CSS_J001407.8+233807,3.5326666666666666,23.635277777777777
112,CSS_J001413.5+144453,3.5565416666666665,14.748277777777778
113,CSS_J001415.9+232628,3.566333333333333,23.441277777777778
114,CSS_J001419.9+352029,3.5829583333333335,35.34163888888889
115,CSS_J001420.8+031214,3.5868333333333333,3.203888888888889
116,CSS_J001425.1+374238,3.604791666666667,37.71063888888889
117,CSS_J001426.0+183145,3.608625,18.52925
118,CSS_J001427.2+402054,3.6134583333333334,40.348444444444446
119,CSS_J001428.8+052240,3.6201666666666665,5.377805555555556
120,CSS_J001428.9+311917,3.6206666666666667,31.32138888888889
121,CSS_J001429.6+133107,3.6234583333333332,13.518833333333333
122,CSS_J001430.2+365226,3.6260416666666666,36.87394444444445
123,CSS_J001432.3+132640,3.6349583333333335,13.444472222222222
124,CSS_J001432.7-154538,3.636625,-15.76063888888889
125,CSS_J001435.2+420306,3.646875,42.05191666666666
126,CSS_J001436.4-075016,3.65175,-7.837944444444444
127,CSS_J001437.0+035128,3.654375,3.8579166666666667
128,CSS_J001438.9+304401,3.6622916666666665,30.733777777777778
129,CSS_J001445.6+310402,3.6900833333333334,31.067222222222224
130,CSS_J001447.0+414244,3.6958333333333333,41.71227777777778
131,CSS_J001447.2+414243,3.6967916666666665,41.71202777777778
132,CSS_J001449.2+223926,3.705375,22.657416666666666
133,CSS_J001449.7+400204,3.707333333333333,40.034555555555556
134,CSS_J001456.3-104904,3.73475,-10.817944444444445
135,CSS_J001502.3-080329,3.7598749999999996,-8.058194444444444
136,CSS_J001503.1-130914,3.7632916666666665,-13.15413888888889
137,CSS_J001504.9+383107,3.7707083333333333,38.51875
138,CSS_J001505.0+224800,3.771041666666666,22.80013888888889
139,CSS_J001507.2+352145,3.780166666666667,35.36269444444444
140,CSS_J001510.0+332157,3.7919583333333335,33.36586111111111
141,CSS_J001512.3+372025,3.8015833333333333,37.340444444444444
142,CSS_J001513.4+444327,3.8060416666666668,44.724333333333334
143,CSS_J001513.4+152403,3.8061250000000006,15.400916666666667
144,CSS_J001517.9+362425,3.8248333333333333,36.40716666666667
145,CSS_J001518.6+123517,3.8275833333333327,12.588277777777778
146,CSS_J001518.8+435011,3.8283333333333327,43.836416666666665
147,CSS_J001524.6+132844,3.8525000000000005,13.479
148,CSS_J001526.1+335056,3.8587500000000006,33.849
149,CSS_J001528.7+424723,3.869791666666666,42.789972222222225
150,CSS_J001531.4+124934,3.881125,12.826361111111112
151,CSS_J001531.7-084634,3.8822916666666667,-8.776222222222222
152,CSS_J001533.0+274017,3.8877916666666668,27.67152777777778
153,CSS_J001537.7+312045,3.9072500000000003,31.345916666666668
154,CSS_J001541.7+362258,3.92375,36.38294444444445
155,CSS_J001542.2-043220,3.9261666666666666,-4.539
156,CSS_J001544.7+273834,3.9362499999999994,27.642972222222223
157,CSS_J001546.6+193807,3.9443750000000004,19.6355
158,CSS_J001546.9+231523,3.945625,23.256444444444444
159,CSS_J001547.7+404520,3.9488749999999997,40.75555555555555
160,CSS_J001547.7-143517,3.949,-14.588138888888889
161,CSS_J001548.5+214410,3.9520833333333334,21.73611111111111
162,CSS_J001550.1+412802,3.958916666666666,41.467333333333336
163,CSS_J001551.1+411531,3.9632916666666667,41.25861111111111
164,CSS_J001553.2+093632,3.9716666666666667,9.608916666666667
165,CSS_J001553.5+293657,3.9732916666666664,29.615833333333335
166,CSS_J001555.1+141524,3.9799166666666665,14.25686111111111
167,CSS_J001555.5+232517,3.9815833333333335,23.421583333333334
168,CSS_J001556.7+411222,3.9866249999999996,41.20616666666667
169,CSS_J001559.7+115937,3.998791666666666,11.993805555555555
170,CSS_J001605.4+415123,4.022833333333334,41.85638888888889
171,CSS_J001610.2+273430,4.042833333333333,27.57525
172,CSS_J001612.7+330652,4.0529166666666665,33.114666666666665
173,CSS_J001615.8-061517,4.065833333333333,-6.254777777777778
174,CSS_J001616.0-173612,4.066666666666666,-17.603444444444445
175,CSS_J001617.2+111703,4.071916666666667,11.284277777777778
176,CSS_J001619.6-135838,4.082041666666667,-13.977444444444444
